YCSB_KEY,field0,field1,field2
user35,2020-01-07,TSLA,bear constantly post old a pic crashed tesla hahahahaha learned yet im pretty sure account learned hope readyyyy whats next
user36,2020-01-07,TSLA,top channel believe
user37,2020-01-07,TSLA,wow jpm whole
user38,2020-01-07,AAPL,bear short later today
user39,2020-01-07,TSLA,head fake w short covering
user40,2020-01-07,TSLA,bear say really good point youre right may pull back get front right now last month there opportunity even hateful self
user41,2020-01-07,TSLA,open tomorrow get electric rocket ship ready going moon
user42,2020-01-07,TSLA,im going far point
user43,2020-01-07,TSLA,man wait till day tesla start paying dividend announcement happens stock explode exdate
user44,2020-01-07,TSLA,search mark post bear short fried last month
user45,2020-01-07,AMZN,congrats long trying time patience rewarded lot come
user46,2020-01-07,TSLA,well it bynd mane it late buy maybe
user47,2020-01-07,TSLA,yep especially put buyer call chaser oof
user48,2020-01-07,AAPL,ready open tomorrow it time
user49,2020-01-07,AAPL,green morning as yall taken profit
user50,2020-01-08,AAPL,buy call easy money
user51,2020-01-08,AAPL,maybe dan ives wedbush reimburse chaser loss maybe
user52,2020-01-08,TSLA,another target raised wow dust settle
user53,2020-01-08,TSLA,take big dip tomorrow morning im closing hedge rolling k sub strike jan call strike call bring
user54,2020-01-08,TSLA,wow great wake this going open maybe hit today
user55,2020-01-08,TSLA,bullish af mewn point bubblepop drop last night good feeling holding call bork
user56,2020-01-08,TSLA,oh yeah yesterday point run give
user57,2020-01-08,TSLA,took profit resized position day ago soon ill again
user58,2020-01-08,AAPL,time high market seems enjoy war much
user59,2020-01-08,TSLA,bwahahaha isnt thing capable stopping train
user60,2020-01-08,TSLA,who making tendies missed run
user61,2020-01-08,AAPL,short term people need pull table uncertainty floating around dicey
user62,2020-01-08,TSLA,people seem forgotten energy business
user63,2020-01-08,TSLA,thought end week middle week
user64,2020-01-08,AAPL,make bull believe terrorist stop launching rocket
user65,2020-01-08,TSLA,grabbed call flipped paid loser put some rolled let keep party going
user66,2020-01-08,TSLA,remember this seems like distant memory week ago
user67,2020-01-08,TSLA,bunch cocaine two chick time
user68,2020-01-08,AAPL,hahaha many bear buying putsell strong strong wanna see close hahaha
user69,2020-01-08,TSLA,wild im loving every bit
user70,2020-01-08,TSLA,year kind going nowhere loved company world
user71,2020-01-09,TSLA,short waiting market open morning tsla
user72,2020-01-09,TSLA,happy get elon tatted tomorrow hit sweet cheek
user73,2020-01-09,TSLA,ahh it gonna another good day tomorrow future keep ripping
user74,2020-01-09,TSLA,elon another dance todaycause love dancessuch good dancer
user75,2020-01-09,TSLA,wish sell
user76,2020-01-09,AAPL,again short gonna buy put sell scared trader gonna take profit selling sharescalls thats gonna happen buy dip hold go long buy new car ever end week end next week
user77,2020-01-09,TSLA,little dip lure boom
user78,2020-01-09,TSLA,put art fart
user79,2020-01-09,AAPL,time take breather
user80,2020-01-09,TSLA,waiting hot moist reversal
user81,2020-01-09,TSLA,eod worry
user82,2020-01-09,AMZN,it moving market
user83,2020-01-09,TSLA,else bought dip
user84,2020-01-09,AAPL,nice look account today see share climbing
user85,2020-01-09,TSLA,looking like today feel good getting tomorrow
user86,2020-01-09,AAPL,apple going keep running undervalued
user87,2020-01-09,TSLA,funny bull thinking got reality check today
user88,2020-01-10,TSLA,steepening move licking chop bull
user89,2020-01-10,NVDA,love im right
user90,2020-01-10,TSLA,reminds yesterday pm sayin
user91,2020-01-10,TSLA,yr chart stock double less month good idea ring register get slammed
user92,2020-01-10,AAPL,thanks bear ath profit call overnight
user93,2020-01-10,TSLA,good morning longs purchase near looking now bahaha
user94,2020-01-10,TSLA,think honor elon bear need throw meme post snap wearing short short next drop
user95,2020-01-10,TSLA,overvalued drop like rock soon
user96,2020-01-10,NFLX,morningstars fair value estimate
user97,2020-01-10,TSLA,tsla put aapl call
user98,2020-01-10,AAPL,called getting burnt
user99,2020-01-10,TSLA,making money love short pig
user100,2020-01-10,TSLA,need ceo tap dance instead actually making profit maybe joined cult tsla
user101,2020-01-10,TSLA,ouch honestly bounce back next week hope take position
user102,2020-01-10,TSLA,ruh roh bullsthis looking good
user103,2020-01-10,TSLA,suddenly bull sure anymore say hello sooner think
user104,2020-01-10,AAPL,missed something whole day off buy anything see bull fine earnings go shortlongterms great weekend
user105,2020-01-11,AAPL,pregame apple airpods apple beat everywhere player
user106,2020-01-12,AAPL,waiting new dip tu buy
user107,2020-01-13,AAPL,undervalued long time blowing number iphone today tomorrow
user108,2020-01-13,AAPL,need panic know were going
user109,2020-01-13,TSLA,good true er
user110,2020-01-13,AAPL,still way undervalued looking forward next er
user111,2020-01-13,TSLA,try hard laugh
user112,2020-01-13,TSLA,fooooookin moon almost feel bad bear
user113,2020-01-13,TSLA,bringing profile back life thank elon
user114,2020-01-13,TSLA,analyst gonna come next upgrade buy imagine buy rating earnings
user115,2020-01-13,TSLA,big tip last month
user116,2020-01-13,TSLA,fair one many warning gave bear low high range
user117,2020-01-13,TSLA,say underwater friday understatement know worth k day
user118,2020-01-14,TSLA,ridiculous friday rate
user119,2020-01-14,AAPL,wow unbelievable thing trying reach star lol
user120,2020-01-14,TSLA,rising strong china news nice
user121,2020-01-14,TSLA,looking inflated account like wheel tesla mobile
user122,2020-01-14,AMZN,dec th st jan th gap dayslast tuesdayslets hope today th
user123,2020-01-14,TSLA,right cramer keep pumping love it
user124,2020-01-14,AAPL,""
user125,2020-01-14,TSLA,target let gap go baby
user126,2020-01-14,TSLA,dip cover
user127,2020-01-14,TSLA,short long here question
user128,2020-01-14,TSLA,short selling shortslike hot potato
user129,2020-01-14,TSLA,want dance either close see tommorow morning
user130,2020-01-14,TSLA,locked small position weekly call caught dip am yall know ah pm action look like trade dd imo
user131,2020-01-14,AAPL,lmao is bye bye aapl
user132,2020-01-15,AAPL,amazing best evaluation folk
user133,2020-01-15,AAPL,guess fed pumping now
user134,2020-01-15,AAPL,one buying b fed apple hope bull get buy back soon
user135,2020-01-15,TSLA,uh oh look like day epic run come grinding halt fall cliff thinking bear today
user136,2020-01-15,AAPL,poor sale gadget target store lol
user137,2020-01-15,TSLA,call next week worry
user138,2020-01-15,TSLA,oh no listen bear errrrrrrrrrrrrrrrrrrr elon
user139,2020-01-15,TSLA,thought gonna see s
user140,2020-01-15,TSLA,im long bullish rather elon get million richer keep money company end year
user141,2020-01-15,TSLA,hundred dollar drop dem bear said gonna happen today hahahahaha
user142,2020-01-15,TSLA,dont worry guy im sure wont fall far it point day moving average day moving average
user143,2020-01-15,TSLA,come bull buy dip
user144,2020-01-15,TSLA,woof tesla bear fed today
user145,2020-01-15,AAPL,here glimpse er yall done
user146,2020-01-15,TSLA,company produce profit relies government handout yet guy wanna buy
user147,2020-01-15,TSLA,holding put already unless open ill still money
user148,2020-01-16,TSLA,bull trap wa pulled rug right ah end
user149,2020-01-16,TSLA,maybe hold buy dip next month
user150,2020-01-16,TSLA,drop next two day bring u pt friday evening
user151,2020-01-16,TSLA,big drop today less bullshit talk imagine healthy pullback
user152,2020-01-16,TSLA,anyone hold rn
user153,2020-01-16,TSLA,open let see firework
user154,2020-01-16,TSLA,dont greedy get tesla profitsanything go crazy short time come downdont feel bad later
user155,2020-01-16,TSLA,head shoulder knee toe
user156,2020-01-16,TSLA,break expect massive drop today much enjoyed ride bull let scalp
user157,2020-01-16,TSLA,bull yesterday like bitconnect guy
user158,2020-01-16,TSLA,robin hood rookie
user159,2020-01-16,TSLA,buy dip said fun said ill make money saidlmfao
user160,2020-01-16,TSLA,red waterfall support break morgan stanley
user161,2020-01-16,AAPL,guess it time readjust screen cuz cant see it stopped to
user162,2020-01-16,TSLA,fight bw bull bear unreal might settle ish eod
user163,2020-01-16,AAPL,anyone happen holding put
user164,2020-01-16,AMZN,still min still shot
user165,2020-01-17,TSLA,fucked
user166,2020-01-17,TSLA,second day bearish gaap
user167,2020-01-17,TSLA,something love scanning highest weekly flow minute close always get beautiful runner
user168,2020-01-17,TSLA,investigation coming im out wait lower entry point good luck all good profit far
user169,2020-01-17,AAPL,beautiful stair step pattern continuing eventual resolution upside stock still cheap forward looking earnings gonna
user170,2020-01-17,TSLA,maybe dump long weekend
user171,2020-01-17,TSLA,fib level broke going back break see today
user172,2020-01-17,TSLA,aboard tank train
user173,2020-01-17,TSLA,happened intolerantbulls attacking anyone negative view trashlacoin guess busy figuring losing huge bundle today
user174,2020-01-17,TSLA,tf telsa bull
user175,2020-01-17,AAPL,hate aapl area
user176,2020-01-17,TSLA,thought unprofitable tsla going go forever
user177,2020-01-17,AAPL,r speechless n reached new level insanity super
user178,2020-01-18,TSLA,good weekend everyone time tell go like action right now need correction earnings
user179,2020-01-18,TSLA,afterhours right
user180,2020-01-18,TSLA,who fault number show near term lambos bruh next week bruh
user181,2020-01-18,TSLA,sry bull gap tuesday sell
user182,2020-01-18,NFLX,booked week earlier er scare
user183,2020-01-19,AAPL,loaded put one post earnings collapse
user184,2020-01-19,AAPL,ready get payment house next week
user185,2020-01-21,AAPL,bull believing every day green
user186,2020-01-21,TSLA,short kinda left usi think went ba much weaker are
user187,2020-01-21,AMZN,sooooo were going moon right
user188,2020-01-21,AMZN,new alltime high coming week it time
user189,2020-01-21,TSLA,start again
user190,2020-01-21,TSLA,might really run
user191,2020-01-22,TSLA,yall need realize indicator dont always work i think never work think it worked great millionaire week dont wanna hear rsi high etc
user192,2020-01-22,NFLX,love lie kill short short
user193,2020-01-22,TSLA,blowup account overnight see
user194,2020-01-22,TSLA,thought christmas whatd wake
user195,2020-01-22,TSLA,much float still short
user196,2020-01-22,TSLA,working well hold strong
user197,2020-01-22,TSLA,bull flag breakout now poor bear
user198,2020-01-22,TSLA,good job bear almost made red day tsla better luck next time
user199,2020-01-22,TSLA,i never saw engine come wing anything theyre landing drumpf
user200,2020-01-22,NFLX,sooo work live trade another day
user201,2020-01-23,TSLA,someone posting chart fundamental research mute them need want trader calling bottom top without clue accurate valuation versus fomo technical is tik tok boom
user202,2020-01-23,AAPL,alright get ya tomorrow er right around corner get ya soon one way another
user203,2020-01-23,TSLA,please drop tomorrow want in
user204,2020-01-23,AAPL,wonder it time unload
user205,2020-01-23,TSLA,tesla growing fleet getting safer even without autopilot
user206,2020-01-23,TSLA,literally moment fortnite danceflossing
user207,2020-01-23,AAPL,bought i still longgg way go
user208,2020-01-23,TSLA,cheap call afternoon pump
user209,2020-01-23,TSLA,man suck every time tesla drop never recoverssuch blood bath
user210,2020-01-23,TSLA,lot bear posting bullish flag today
user211,2020-01-23,NFLX,bought call yesterday worth today close
user212,2020-01-24,TSLA,elon mention hinting sort future buy back program assure everyone tesla squeeze every short seller good
user213,2020-01-24,TSLA,go
user214,2020-01-24,AMZN,may get close
user215,2020-01-24,TSLA,turn machine back on turn machine back sorry resist
user216,2020-01-24,NFLX,nice see ticker get mojo back
user217,2020-01-24,TSLA,time rise flex
user218,2020-01-24,TSLA,time make panda
user219,2020-01-24,AAPL,knew shouldve bought
user220,2020-01-24,TSLA,lol obvious happened tesla pulled forward delivery q yearinto q last year look europe data elon knew missed k target boned first quarter sale going get wrecked
user221,2020-01-25,TSLA,gofundme bagholders noobs buying ath pig market crashing adios
user222,2020-01-25,TSLA,buying er wednesday surely rewarded
user223,2020-01-25,AAPL,stop name love
user224,2020-01-27,AAPL,going pay bigly tomorrow
user225,2020-01-27,AAPL,ouch bull dont forget buy dip lol
user226,2020-01-27,AAPL,global recession
user227,2020-01-27,AAPL,hope yolo put guy get payback tomorrow
user228,2020-01-27,TSLA,built stock increased production china q probably happen now german factory producing car yet
user229,2020-01-28,TSLA,theresan emergency need go right away wait car charge wait stop every mile wait charging again good luck getting dodge alive billion pure silliness
user230,2020-01-28,AAPL,people going future determine movement tomorrow lmfao
user231,2020-01-28,AAPL,bull cant catch break
user232,2020-01-28,TSLA,scooping unsuspected bull pop
user233,2020-01-28,TSLA,go till tomorrow lol
user234,2020-01-28,TSLA,fall aftermarket tomorrow delish
user235,2020-01-28,AAPL,update nurse whistleblower china she claimed people infected day ago whats real number nursewhistleblower
user236,2020-01-28,TSLA,hahaha silly fool gone open clown
user237,2020-01-28,AAPL,love itbunch degenerate coming roll
user238,2020-01-28,AAPL,looking forward er good luck folk
user239,2020-01-28,AAPL,see win call put
user240,2020-01-28,AAPL,nile full panic mode
user241,2020-01-28,AAPL,buying call sale tomorrow
user242,2020-01-28,TSLA,almost heart attack waiting apple news lol
user243,2020-01-28,AAPL,wonder price gonna open
user244,2020-01-29,AAPL,nice green apple long term holding put buyer lost again longer term money call prob ok
user245,2020-01-29,TSLA,money maker me
user246,2020-01-29,AMZN,got yesterday
user247,2020-01-29,TSLA,get er tomorrow run hard imo
user248,2020-01-29,AAPL,congratulation apple bull longs party tomorrow
user249,2020-01-29,TSLA,ready market open up
user250,2020-01-29,TSLA,calm storm shorties
user251,2020-01-29,AAPL,long swing target
user252,2020-01-29,AAPL,bear go hopefully back cave
user253,2020-01-29,AAPL,news getting upgrade
user254,2020-01-29,TSLA,didnt even imagine
user255,2020-01-29,TSLA,market close ema tfm yes maybe green day tomorrow
user256,2020-01-29,TSLA,lmao elon killed shorties again
user257,2020-01-29,TSLA,want throne earnings blowout beat huge guidance news close nice job musk tesla teambulls
user258,2020-01-29,TSLA,right mind buy put tesla end next week mid end february go tesla holy shit
user259,2020-01-29,TSLA,whats emergency
user260,2020-01-29,TSLA,wish invested life saving back looking s
user261,2020-01-29,TSLA,hey remember day tesla went hour earnings
user262,2020-01-29,TSLA,magnet sorry short
user263,2020-01-29,TSLA,shorties another great night enjoy lol
user264,2020-01-29,TSLA,""
user265,2020-01-29,TSLA,anyone buy dip swung earnings let know im glad worked u
user266,2020-01-30,TSLA,who listening call me hahaha im guessing none called conviction short hahaha youre missing sooooo much arent
user267,2020-01-30,TSLA,long gone
user268,2020-01-30,TSLA,ma shorties raise handscmn cmn dont shy dont shy never learned
user269,2020-01-30,AMZN,er s best holiday season amzn history tomorrow
user270,2020-01-30,TSLA,bull control like agree
user271,2020-01-30,TSLA,""
user272,2020-01-30,TSLA,im hoping people hold honestly believe hit plus due fomo week doesnt thats fine wishful thinking
user273,2020-01-30,AMZN,corona virus great opportunity roll amazonrx best holiday shopping high consumer confidence season er
user274,2020-01-30,TSLA,flying dont get left behind
user275,2020-01-30,TSLA,stock beautiful instrument day trade certainly to invest level sold k car something idk care
user276,2020-01-30,TSLA,going say once stop shorting tesla
user277,2020-01-30,AMZN,number great thing im uncertain aws growth let see
user278,2020-01-30,AAPL,scared sniffys cdc say even wear mask go get flu shot
user279,2020-01-30,TSLA,time closing tomorrow strong monthly close
user280,2020-01-30,AMZN,climb upwards steady goal
user281,2020-01-30,AMZN,incredible hold call pay nicely congrats bull
user282,2020-01-30,AMZN,sell call hold share gain gain though
user283,2020-01-30,AMZN,da moon soon wow
user284,2020-01-30,AMZN,real question along trust jeff bezos bring game thought distracted divorce new hollywood lifestyle bezos trust stock certificate
user285,2020-01-30,TSLA,ready another upgrade
user286,2020-01-30,AMZN,cant handle this yesterday tesla this
user287,2020-01-30,AMZN,congrats bull always remwber the stock market device transferring money impatient patient warren buffett
user288,2020-01-30,AMZN,congrats bull good earnings make
user289,2020-01-30,AMZN,patience pay loyal longs holding common stock year continue next year congrats longs
user290,2020-01-30,AMZN,weekly added much tomorrow asking friendalthough already know answer
user291,2020-01-31,AMZN,bull selling pump
user292,2020-01-31,AMZN,lock profit wait bigger move month expiration
user293,2020-01-31,TSLA,paid call dont judge
user294,2020-01-31,TSLA,elon changed name edm it happy elon time funny ceo id happy him
user295,2020-01-31,AMZN,dip bot bear gonna day and foolish put
user296,2020-01-31,NFLX,netflix gonna run today hesitant hold call weekend
user297,2020-01-31,AMZN,im going k
user298,2020-01-31,AMZN,good thing none big firm havent given outperform buy
user299,2020-01-31,TSLA,bear went separate chat room
user300,2020-01-31,AMZN,highest single gain call sold open starting weekend early ending week deep green
user301,2020-01-31,AMZN,lot uncertainty amazon sideline finally jumping back in come next week virus fear get dampened ultimately headed k love hate hx swaying back love
user302,2020-01-31,AAPL,bull believing corona virus market hoax
user303,2020-01-31,TSLA,fair value need future quarter year expected positive eps keep buying
user304,2020-01-31,TSLA,dow getting crushed yet tsla holding steady
user305,2020-01-31,AAPL,tfw u get text change life
user306,2020-01-31,TSLA,let close comfortably shall we
user307,2020-01-31,TSLA,let see short pullback
user308,2020-01-31,AAPL,dont normally put do there virus pandemic
user309,2020-02-01,AAPL,yeah bull keep buying
user310,2020-02-01,AAPL,money short closing store china immediate effect let give market share competitiors china without struggle
user311,2020-02-01,TSLA,curious many people became millionaire tesla past month
user312,2020-02-02,AAPL,selloff profit see
user313,2020-02-03,AAPL,bull really believe tomorrow green
user314,2020-02-03,AAPL,bahahaha gap said
user315,2020-02-03,AAPL,worry still trillion dollar club
user316,2020-02-03,TSLA,elon love you man
user317,2020-02-03,TSLA,want monkey job
user318,2020-02-03,TSLA,great close great day news close
user319,2020-02-03,TSLA,still holding low s sold
user320,2020-02-03,TSLA,many bear filing bankruptcy
user321,2020-02-03,TSLA,feel like time nvda ran retraced half took almost year
user322,2020-02-03,TSLA,tomorrow way
user323,2020-02-03,TSLA,unbelievably run time series forecast day higher may debit call showed cheap penny option profit already hand musk trust
user324,2020-02-03,TSLA,imagine guy shorted lunch timedumb
user325,2020-02-03,TSLA,price target hit
user326,2020-02-03,TSLA,s tomorrow let rally continue
user327,2020-02-03,TSLA,option put tomorrow good
user328,2020-02-03,TSLA,smoke em u got em
user329,2020-02-04,NFLX,breakout see swing
user330,2020-02-04,TSLA,who gonna take one team short couple g
user331,2020-02-04,TSLA,one billion chinese make sure tesla share price continues rise
user332,2020-02-04,TSLA,day made k weekend selling autographed kobe jersey today tesla call fire fuego
user333,2020-02-04,TSLA,first bagger delightful surprise today
user334,2020-02-04,TSLA,looking entry point since still cant enter
user335,2020-02-04,TSLA,lotto call end friday yolo style guy think
user336,2020-02-04,TSLA,hope ya caught dip
user337,2020-02-04,TSLA,high premkt far
user338,2020-02-04,TSLA,month ago told u future long term investing sens getting better
user339,2020-02-04,TSLA,end week
user340,2020-02-04,TSLA,holy moly every time look it another
user341,2020-02-04,TSLA,everyone ask made first million tesla
user342,2020-02-04,TSLA,call got last minute yesterday ballzzzz deeeeep money
user343,2020-02-04,TSLA,optimistic let see open
user344,2020-02-04,TSLA,guy insane make money
user345,2020-02-04,TSLA,wanted say congrats longs brilliant gif
user346,2020-02-04,TSLA,see coming soon hold strong
user347,2020-02-04,TSLA,elon split puppy little guy need
user348,2020-02-04,NFLX,setting might run today rth dis earnings ahs see get way
user349,2020-02-04,TSLA,got cant let people make money
user350,2020-02-04,TSLA,frinking love elon sold back dip
user351,2020-02-04,TSLA,sold call measly profit worth profit
user352,2020-02-04,TSLA,went dollar day bear celebrating
user353,2020-02-04,AAPL,question
user354,2020-02-04,AMZN,really wouldnt mind decent sell right now getting boring
user355,2020-02-04,TSLA,jonas even musk silly short need accept stay
user356,2020-02-04,TSLA,hahahaha fck short fcking loser
user357,2020-02-04,TSLA,around corner bear
user358,2020-02-04,TSLA,still card today dont surprised
user359,2020-02-04,TSLA,gambler came back
user360,2020-02-04,AMZN,somethings cooking big move comingback
user361,2020-02-04,TSLA,hopefully caught dip vbiv next pot big
user362,2020-02-04,TSLA,let see k
user363,2020-02-04,TSLA,please drop buy more
user364,2020-02-04,TSLA,sell
user365,2020-02-04,TSLA,buying call
user366,2020-02-04,TSLA,citron buying level lol
user367,2020-02-04,TSLA,pussh esg sustainability
user368,2020-02-04,TSLA,even dip were still day
user369,2020-02-04,TSLA,finally afford tesla truck
user370,2020-02-04,TSLA,k hour thank lord elon
user371,2020-02-04,TSLA,shorted brought one thing buy f short
user372,2020-02-04,TSLA,crystal ball crystalball
user373,2020-02-05,TSLA,the short seller stock already lost billion since jen add another tomorrow
user374,2020-02-05,TSLA,goodbye tsla always remember
user375,2020-02-05,TSLA,forget dip boysgigatexas tomorrow new day
user376,2020-02-05,TSLA,hr min premarket open
user377,2020-02-05,TSLA,used reserve ceo goat title steve job jeff bezos runner up elon taken reign goat
user378,2020-02-05,TSLA,if suffering tremendous loss week please remember counselor bankruptcy lawyer help you wife leaf week call licensed attorney
user379,2020-02-05,TSLA,notice bear bet yall cant sleep sky rocket k pm
user380,2020-02-05,TSLA,look like spaceship sinking beware
user381,2020-02-05,TSLA,bear asking
user382,2020-02-05,TSLA,it red it coming back mar point staying pluto
user383,2020-02-05,AMZN,short now good luck
user384,2020-02-05,TSLA,lol bear think tank green market k next friday
user385,2020-02-05,AAPL,let goooo
user386,2020-02-05,NFLX,money heist european best tv show coming back
user387,2020-02-05,TSLA,woah anybody else see fast spike up
user388,2020-02-05,AAPL,many look got profit buy hold long term hold
user389,2020-02-05,TSLA,cant day im worried
user390,2020-02-05,TSLA,po still running
user391,2020-02-05,TSLA,call bought
user392,2020-02-05,AMZN,got kidding me
user393,2020-02-05,TSLA,bear wanna get price buy
user394,2020-02-05,TSLA,look like want retest
user395,2020-02-05,TSLA,buy dip f moron moron
user396,2020-02-05,TSLA,lol drop bull think winning
user397,2020-02-05,TSLA,sucking unsuspected bull another drop tomorrow
user398,2020-02-05,TSLA,bull started calling instead
user399,2020-02-05,TSLA,break eod great please
user400,2020-02-05,AMZN,want see
user401,2020-02-05,TSLA,hasnt reached yet
user402,2020-02-05,TSLA,dropping
user403,2020-02-05,TSLA,smart dilute make plaque thanking short seller hang wall new expansion
user404,2020-02-05,TSLA,call expire friday snapped left right closed yesterday today low rip
user405,2020-02-05,TSLA,hoping gap ah pm buy put
user406,2020-02-05,AMZN,yesssssss tariff man back take glove trump tariff
user407,2020-02-05,TSLA,took loan look buy expiry friday
user408,2020-02-05,TSLA,year greta demonstrated electric car water waste production people drive hcars instead not german build better ecars anyway
user409,2020-02-06,TSLA,going take huge dump tomorrow lol
user410,2020-02-06,TSLA,gap pig tomorrow let see real firework
user411,2020-02-06,TSLA,coming back ema knew certain bull naive think naive
user412,2020-02-06,TSLA,attention attention bull anymore converted angry mean bear get amen bear
user413,2020-02-06,TSLA,going help bull reading this market cap matter heavier ball take lift it guy got played fund selling like crazy dont sell hold year recovering
user414,2020-02-06,TSLA,jim cramer pull another bear stearns
user415,2020-02-06,TSLA,""
user416,2020-02-06,TSLA,tomorrow reach
user417,2020-02-06,AMZN,future deep red morning
user418,2020-02-06,TSLA,vw short squeeze look familiar
user419,2020-02-06,TSLA,get ready dip dip chip chip bull
user420,2020-02-06,TSLA,an executive said delivery feb might delayed lol else make drop look like genuine hahahahaha told
user421,2020-02-06,TSLA,get can wave crashing
user422,2020-02-06,TSLA,dont worry bull still easily hit k today
user423,2020-02-06,TSLA,aboard south pole
user424,2020-02-06,TSLA,cute rally global optimsim giving wind long
user425,2020-02-06,TSLA,retesting support look below
user426,2020-02-06,TSLA,hood god fast forward
user427,2020-02-06,TSLA,tomorrow today put exp feb loading
user428,2020-02-06,TSLA,sudden one care frankfurt market
user429,2020-02-06,TSLA,wow chart show getting detroyed today going
user430,2020-02-06,TSLA,chase robinhood millennials margin call coming next tsla
user431,2020-02-06,TSLA,oh wow dip back friday right
user432,2020-02-06,TSLA,drop little lower mee put thanks elon
user433,2020-02-06,TSLA,geeez wish bought first dip yesterday perpetual bull
user434,2020-02-06,TSLA,delusional fanboys keep buying thinking evaluation nonprofitable stock seems reasonable
user435,2020-02-06,TSLA,sweating stop loss here
user436,2020-02-06,TSLA,lolthis bounce look almost real
user437,2020-02-06,TSLA,back short
user438,2020-02-06,TSLA,going cramer pump
user439,2020-02-06,AAPL,lot trapped bear let blast
user440,2020-02-06,TSLA,please hit shorting something
user441,2020-02-06,TSLA,retail chaser gonna learn
user442,2020-02-06,TSLA,hahaha cnbc crushing garbage
user443,2020-02-06,TSLA,raise make sense tonight huge run weeekend
user444,2020-02-06,TSLA,close red tank folk
user445,2020-02-06,TSLA,hey bull go long toilet paperlol
user446,2020-02-06,TSLA,who ready drop
user447,2020-02-06,TSLA,flat screen
user448,2020-02-06,TSLA,uh oh bull
user449,2020-02-06,TSLA,retail buyer intelligent wall street veteran
user450,2020-02-06,TSLA,mama meatball say take yo profit run
user451,2020-02-06,TSLA,youre buying level slap handif youre buying level slap hand
user452,2020-02-06,AMZN,going rocket last minute day
user453,2020-02-06,AMZN,hmmm selling done hit tomorrow let see
user454,2020-02-06,AAPL,stock growth divvy thought
user455,2020-02-07,TSLA,test s open tomorrow
user456,2020-02-07,TSLA,holding call im scared far it always gone friday
user457,2020-02-07,TSLA,killed week n playing house money now finish strong baby
user458,2020-02-07,TSLA,it going break tomorrow wait another day
user459,2020-02-07,TSLA,the number one rule trading stock ssr dont short low
user460,2020-02-07,TSLA,smh dude saying price target usual stupidity selling whatever still today
user461,2020-02-07,TSLA,it probably honest mistake try turn negative article user car thanks dip
user462,2020-02-07,TSLA,close around today
user463,2020-02-07,AMZN,week high breaking out boom
user464,2020-02-07,TSLA,snooze wake hit
user465,2020-02-07,TSLA,expecting flag broken today possibly nice run today
user466,2020-02-07,TSLA,oh no the put
user467,2020-02-07,TSLA,let get next bull run started
user468,2020-02-07,TSLA,look like going
user469,2020-02-07,AAPL,gotta love reading desperate bull here ship go
user470,2020-02-07,TSLA,unreal going close right the force be big move next week glta
user471,2020-02-07,TSLA,go tesla go want get put cheap
user472,2020-02-07,TSLA,chance huge profit next week reasonable opinion plz thanks
user473,2020-02-07,AAPL,crazy people hold knowing itll get eviscerated next earnings report
user474,2020-02-07,TSLA,it funny bear saying it going crash going go bull trash talking it called market correction
user475,2020-02-07,AAPL,tim apple old antic
user476,2020-02-08,TSLA,k club member mouth open like cmon anything
user477,2020-02-08,TSLA,keeeeep buying level
user478,2020-02-09,AAPL,fake article nikkei false hilarious bear never safe
